activityType,activityDescription,riskLevel,archetype,textContent,sentimentScore
cycling,Cycling without helmet,MEDIUM,The Community Builder,Yoga session at home. Centering myself so I can be present for others.,0.7284
socializing,Meeting friends at cafe,LOW,The Ambitious Entrepreneur,Self-directed learning. Staying ahead of the curve. Innovation waits for no one.,0.5844
working,Focused desk work,LOW,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.5461
exercise,Yoga session at home,LOW,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.4577
exercise,Running in the park,LOW,The Stoic Engineer,Self-directed learning on decentralized protocols. Fascinating logic.,0.8527
volunteering,Helping at local shelter,LOW,The Disillusioned Artist,Just a cup of black coffee and another gray morning. What are we all running towards?,0.2992
gardening,Community garden maintenance,LOW,The Idealistic Activist,Meeting friends at cafe. Planning the next community campaign over hot drinks.,0.5470
exercise,Running in the park,LOW,The Stoic Engineer,Optimizing the new backend pipeline. System throughput increased by 37%.,0.8683
sports,Playing basketball,MEDIUM,The Stoic Engineer,Commuting during rush hour. The traffic congestion is an optimization problem waiting to be solved.,0.5578
exercise,Yoga session at home,LOW,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.4907
fast_food,Eating at fast food restaurant,HIGH,The Idealistic Activist,Running in the park. Reminds me what we are fighting to protect.,0.6329
gardening,Community garden maintenance,LOW,The Stoic Engineer,Preparing a healthy meal. Precise measurements yield consistent nutritional results.,0.5547
driving,Commuting during rush hour,MEDIUM,The Disillusioned Artist,Commuting during rush hour. A sea of expressionless faces heading to their offices.,0.1759
sports,Playing basketball,MEDIUM,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.9351
sports,Playing basketball,MEDIUM,The Ambitious Entrepreneur,Self-directed learning. Staying ahead of the curve. Innovation waits for no one.,0.5328
studying,Self-directed learning,LOW,The Cautious Observer,Focused desk work. Double-checking all project dependencies to prevent unexpected issues.,0.4572
heavy_lifting,Moving boxes into building,MEDIUM,The Community Builder,Volunteering at the local shelter. So proud of everyone who showed up to help today!,0.8124
exercise,Running in the park,LOW,The Idealistic Activist,Running in the park. Reminds me what we are fighting to protect.,0.5015
exercise,Running in the park,LOW,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.5301
working,Focused desk work,LOW,The Disillusioned Artist,"Cycling without helmet. Feeling the wind, ignoring the safety margins just to feel alive.",0.3532
working,Focused desk work,LOW,The Community Builder,Meeting friends at cafe. Great discussions about our neighborhood cleanup project.,0.9472
cooking,Preparing a healthy meal,LOW,The Ambitious Entrepreneur,Self-directed learning. Staying ahead of the curve. Innovation waits for no one.,0.5455
studying,Self-directed learning,LOW,The Idealistic Activist,Meeting friends at cafe. Planning the next community campaign over hot drinks.,0.5874
driving,Commuting during rush hour,MEDIUM,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.5510
gardening,Community garden maintenance,LOW,The Disillusioned Artist,Smoking outside building. Watching the smoke drift away into the rain. Art is transient.,0.4650
socializing,Meeting friends at cafe,LOW,The Ambitious Entrepreneur,"Playing basketball. Love the competition, always playing to win.",0.9492
exercise,Yoga session at home,LOW,The Ambitious Entrepreneur,"Commuting during rush hour. Taking calls, closing deals. No time wasted.",0.8340
studying,Self-directed learning,LOW,The Cautious Observer,"Yoga session at home. Quiet, controlled environment. Perfect for avoiding risks.",0.6350
cycling,Cycling without helmet,MEDIUM,The Ambitious Entrepreneur,Eating at fast food restaurant. Quick fuel. Speed is more valuable than standard pacing right now.,0.6820
cooking,Preparing a healthy meal,LOW,The Idealistic Activist,Running in the park. Reminds me what we are fighting to protect.,0.5491
fast_food,Eating at fast food restaurant,HIGH,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.9061
shopping,Grocery shopping,LOW,The Ambitious Entrepreneur,"Commuting during rush hour. Taking calls, closing deals. No time wasted.",0.7648
driving,Commuting during rush hour,MEDIUM,The Stoic Engineer,Self-directed learning on decentralized protocols. Fascinating logic.,0.7854
exercise,Yoga session at home,LOW,The Disillusioned Artist,"Focused desk work... or rather, staring at a blank screen wondering if this is all there is.",0.4604
driving,Commuting during rush hour,MEDIUM,The Disillusioned Artist,Just a cup of black coffee and another gray morning. What are we all running towards?,0.2772
volunteering,Helping at local shelter,LOW,The Community Builder,Focused desk work. Organizing the community outreach schedule.,0.6705
shopping,Grocery shopping,LOW,The Community Builder,Volunteering at the local shelter. So proud of everyone who showed up to help today!,0.9610
studying,Self-directed learning,LOW,The Ambitious Entrepreneur,Eating at fast food restaurant. Quick fuel. Speed is more valuable than standard pacing right now.,0.5656
cycling,Cycling without helmet,MEDIUM,The Ambitious Entrepreneur,Focused desk work. Refining our seed round deck. Scale is everything.,0.5330
working,Focused desk work,LOW,The Ambitious Entrepreneur,Focused desk work. Refining our seed round deck. Scale is everything.,0.6135
working,Focused desk work,LOW,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.4320
smoking,Smoking outside building,HIGH,The Cautious Observer,"Smoking outside building. Staying on the sidelines, watching the world spin by.",0.3362
shopping,Grocery shopping,LOW,The Disillusioned Artist,Commuting during rush hour. A sea of expressionless faces heading to their offices.,0.2235
smoking,Smoking outside building,HIGH,The Disillusioned Artist,"Focused desk work... or rather, staring at a blank screen wondering if this is all there is.",0.3157
studying,Self-directed learning,LOW,The Stoic Engineer,Self-directed learning on decentralized protocols. Fascinating logic.,0.7786
exercise,Yoga session at home,LOW,The Community Builder,Yoga session at home. Centering myself so I can be present for others.,0.7857
shopping,Grocery shopping,LOW,The Cautious Observer,Focused desk work. Double-checking all project dependencies to prevent unexpected issues.,0.4833
cooking,Preparing a healthy meal,LOW,The Disillusioned Artist,Just a cup of black coffee and another gray morning. What are we all running towards?,0.1069
studying,Self-directed learning,LOW,The Stoic Engineer,Optimizing the new backend pipeline. System throughput increased by 25%.,0.8071
working,Focused desk work,LOW,The Community Builder,Meeting friends at cafe. Great discussions about our neighborhood cleanup project.,0.8013
volunteering,Helping at local shelter,LOW,The Stoic Engineer,Running in the park. Maintaining physical systems is as important as digital ones.,0.5743
cooking,Preparing a healthy meal,LOW,The Disillusioned Artist,"Focused desk work... or rather, staring at a blank screen wondering if this is all there is.",0.3136
driving,Commuting during rush hour,MEDIUM,The Idealistic Activist,Helping at local shelter. Real change happens from the ground up.,0.5345
socializing,Meeting friends at cafe,LOW,The Ambitious Entrepreneur,Self-directed learning. Staying ahead of the curve. Innovation waits for no one.,0.6748
heavy_lifting,Moving boxes into building,MEDIUM,The Cautious Observer,Grocery shopping. Stocking up on essentials. Preparation is key.,0.5000
smoking,Smoking outside building,HIGH,The Community Builder,"Community garden maintenance. Small seeds, big future. Let's grow together!",0.9670
socializing,Meeting friends at cafe,LOW,The Community Builder,Meeting friends at cafe. Great discussions about our neighborhood cleanup project.,0.8346
driving,Commuting during rush hour,MEDIUM,The Disillusioned Artist,Just a cup of black coffee and another gray morning. What are we all running towards?,0.2232
cycling,Cycling without helmet,MEDIUM,The Disillusioned Artist,Smoking outside building. Watching the smoke drift away into the rain. Art is transient.,0.3625
working,Focused desk work,LOW,The Disillusioned Artist,"Cycling without helmet. Feeling the wind, ignoring the safety margins just to feel alive.",0.3418
exercise,Yoga session at home,LOW,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.8608
fast_food,Eating at fast food restaurant,HIGH,The Community Builder,Meeting friends at cafe. Great discussions about our neighborhood cleanup project.,0.9421
exercise,Yoga session at home,LOW,The Idealistic Activist,Running in the park. Reminds me what we are fighting to protect.,0.6342
volunteering,Helping at local shelter,LOW,The Stoic Engineer,Self-directed learning on decentralized protocols. Fascinating logic.,0.8796
studying,Self-directed learning,LOW,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.4997
working,Focused desk work,LOW,The Idealistic Activist,Focused desk work. Writing our manifesto for the upcoming climate action plan.,0.8513
heavy_lifting,Moving boxes into building,MEDIUM,The Disillusioned Artist,Smoking outside building. Watching the smoke drift away into the rain. Art is transient.,0.3678
studying,Self-directed learning,LOW,The Cautious Observer,"Smoking outside building. Staying on the sidelines, watching the world spin by.",0.3444
volunteering,Helping at local shelter,LOW,The Cautious Observer,"Smoking outside building. Staying on the sidelines, watching the world spin by.",0.2415
working,Focused desk work,LOW,The Stoic Engineer,Focused desk work. Code reviews and system refactoring require complete focus.,0.4175
exercise,Yoga session at home,LOW,The Ambitious Entrepreneur,"Commuting during rush hour. Taking calls, closing deals. No time wasted.",0.7972
fast_food,Eating at fast food restaurant,HIGH,The Cautious Observer,Grocery shopping. Stocking up on essentials. Preparation is key.,0.5462
exercise,Running in the park,LOW,The Stoic Engineer,Preparing a healthy meal. Precise measurements yield consistent nutritional results.,0.5180
cooking,Preparing a healthy meal,LOW,The Stoic Engineer,Preparing a healthy meal. Precise measurements yield consistent nutritional results.,0.4306
cooking,Preparing a healthy meal,LOW,The Disillusioned Artist,"Focused desk work... or rather, staring at a blank screen wondering if this is all there is.",0.4691
